HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer
0,0,0,0,0,0,1,0,1,0,7,49,6,0,0,0,0,0,0,1,0,0,0,0,0,0,3.112803945,49
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,3.540926197,50
0,0,0,0,0,0,0,0,1,0,7,49,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3.443453776,51
0,0,0,0,1,1,0,0,7,0.286,12,144,0.71,0,0,0,0,0,0,0,0,0,1,0,0,0,3.584455999,52
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.600246308,53
0,0,0,0,0,1,0,0,1,0,6,36,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3.256467006,54
0,0,0,0,0,1,0,0,1,0,6,36,5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.161613876,55
0,0,0,0,0,1,0,0,1,0,6,36,5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.470692349,56
0,0,0,0,1,1,0,0,2,0,9,81,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.604582571,57
0,0,0,0,1,1,0,0,2,0,6,36,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.614479132,58
0,0,0,0,0,0,1,0,2,0,9,81,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3.617935275,59
0,0,0,0,1,0,0,0,2,0.5,7,49,2.5,0,1,0,0,0,0,1,0,0,0,0,0,0,3.625273831,60
0,0,0,0,1,0,1,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.629043193,61
0,0,0,0,1,0,0,0,2,0,7,49,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,3.595902265,62
0,0,0,0,0,1,0,0,3,0,9,81,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3.639826339,63
0,0,0,0,0,1,0,0,3,0,10,100,2.33,0,0,0,0,0,0,0,0,0,0,1,0,0,3.650102243,64
0,0,0,0,0,1,0,0,1,0,7,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37492185,65
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3.419649892,66
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3.65267476,67
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,3.652885814,68
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,3.659281437,69
0,0,0,0,0,0,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.488292089,70
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,3.266670785,71
0,0,0,0,0,0,0,0,4,0,9,81,1.25,0,0,0,0,1,0,0,0,0,0,0,0,0,3.477815428,72
